"Video Gaming Licensed Applicants",
"License Name","d/b/a","Address","City","State","Zip","County","License Number","License Type","Status Date",
"2475 W. Higgins Road, Inc.","Moretti's","2475 W. Higgins Rd.","Hoffman Estates","IL","60169","Cook","140703478","Establishment","04/23/2015",
"2520 PG, Inc.","Lucky Lulu's","2520 Rte 176 Unit 1","Prairie Grove","IL","60014","McHenry","160702010","Establishment","08/31/2016",
"255 Group Ltd.","Black Door Pub","255 E Indian Trail","Aurora","IL","605051732","Kane","130705250","Establishment","04/23/2015",
"25TH ALLEY LOUNGE, INC.","Sharkys Sports Bar & Grill","601 Railroad Ave","Round Lake","IL","60073","Lake","120709211","Establishment","05/23/2013",
"27 Irving Park, LLC","Horseshoe Inn","9639 Irving Park Rd.","Schiller Park","IL","60176","Cook","140703638","Establishment","03/26/2015",
"2723 Sheridan Rd. LLC","The Inn on Sheridan/Bailey's Restaurant","2723 Sheridan Rd","Zion","IL","60099","Lake","200700363","Establishment","11/17/2020",
"2867 CORPORATION","FATBOYS","201 E MAIN ST","MORRISON","IL","61270","Whiteside","120702167","Establishment","09/20/2012",
"294, INC.","294 MOBIL","9660 GOLF RD","Des Plaines","IL","60016","Cook","220700873","Establishment","03/16/2023",
"2James LLC","Mitchellsville Country Store","5850 Highway 145 S","Harrisburg","IL","62946","Saline","190703382","Establishment","06/11/2020",
"2SALESGUYS LLC","Windsor's Pub","1000 Maine St","Windsor","IL","61957","Shelby","160704045","Establishment","01/26/2017",
"3 Brothers Incorporated","Lucky Little Vegas","209 S. 11th Street","Auburn","IL","62615","Sangamon","190702390","Establishment","12/19/2019",
"3 CORNERS NL, INC.","3 CORNERS GRILL & TAP NL","901 E LINCOLN HWY","NEW LENOX","IL","60451","Will","190701038","Establishment","08/08/2019",
"3 CORNERS, INC.","3 Corners Grill & Tap","12371 S. Derby Rd","Lemont","IL","60439","Cook","140704443","Establishment","04/23/2015",
"3 G HOSPITALITY, LLC","TINA'S PLACE","6513 Cermak Rd.","Berwyn","IL","60402","Cook","180703963","Establishment","01/30/2019",
"3 Gam's, Inc.","Triangle Pub","315 S West St","Stonington","IL","62567","Christian","120711569","Establishment","10/24/2013",
"3 Magpies Inc.","Magpie","126 N. Madison St","Rockford","IL","61107","Winnebago","220700250","Establishment","09/15/2022",
"3 MONKEYS INC.","3 Monkeys","2826 CHICAGO ROAD","South Chicago Heights","IL","60411","Cook","120700672","Establishment","01/24/2013",
"3 Queens Inc.","3 Queens","810 Front Street  STE C","McHenry","IL","60050","Mchenry","160703292","Establishment","03/23/2017",
"3 TWELVE, INC.","3 Twelve, Inc.","312 LOCUST ST","STERLING","IL","61081","Whiteside","130706154","Establishment","02/26/2014",
"3's COMPANY, LTD","3'S COMPANY, LTD","2510 JOHNSON STREET","WEST BROOKLYN","IL","61378","Lee","150702175","Establishment","07/23/2015",
"301 West, LLC","Boone's","301 West Edwards Street","Springfield","IL","62704","Sangamon","210700510","Establishment","09/09/2021",
"305 Madison Inc.,","Lebanon Wine and Spirits","305 S Madison St","Lebanon","IL","62254","St. Clair","180701489","Establishment","08/02/2018",
"308 MacArthur, Inc.","Doc Holiday's Saloon & Eatery","308 W. MacArthur ","Cottage Hills","IL","62018","Madison","120702279","Establishment","12/20/2012",
"312 Corporation","Oswego Inn","54 Main Street","Oswego ","IL","60543","Kendall","130705111","Establishment","05/29/2014",
"3150 S. Cicero Corp.","Snappy Convenience Center #9","3150 S. Cicero Ave","Cicero","IL","60804","Cook","210700124","Establishment","09/09/2021",
"32 Below, Inc.","32 Below","101 S. Walnut St.","Strasburg","IL","62465","Shelby","150702369","Establishment","07/23/2015",
"3216N, INC.","STONE PARK SHELL","3216 W NORTH AVEUNE","STONE PARK","IL","60165","Cook","180701542","Establishment","09/14/2018",
"33RPMS, LLC","Vermilion River Beer Company","103 N. Vermilion St.","Danville","IL","61832","Vermilion","190702771","Establishment","06/11/2020",
"3423 DUO LLC","THE BROWN JUG","18403 W Farmington Rd","Trivoli ","IL","61569","Peoria","220701141","Establishment","07/28/2022",
"3423 LLC","Mikes Tavern","626 N Cedar Avenue","West Peoria","IL","61604","Peoria","200702378","Establishment","06/09/2021",
"35 Years, LLC Landmark","Marie's Place","1520 E. College Ave Unit J","Normal","IL","61761","Mclean","150700815","Establishment","03/04/2016",
"35 Years, LLC Patriot Center","Marie's Place","115 Susan Drive Unit H","Normal","IL","61761","Mclean","150700817","Establishment","03/04/2016",
"35 Years, LLC University Park","Marie's Place-University Park","1702 W. College Ave. Ste. A1","Normal","IL","61761","Mclean","200701901","Establishment","07/14/2021",
"36 N. Genesee, LLC","The Tap Room","36 N. Genesee St","Waukegan","IL","60085","Lake","160701747","Establishment","10/07/2016",
"3901 HARLEM, INC.","STICKNEY SHELL","3901 S HARLEM AVE","STICKNEY","IL","60402","Cook","190703532","Establishment","01/30/2020",
"3RD BAR, INC.","3RD BAR, INC.","316 N MAIN ST","SENECA","IL","613609350","La Salle","210700248","Establishment","09/09/2021",
"3RD BASE LLC","3RD BASE","RR1, Box 150","Greenfield","IL","62044","Greene","120712649","Establishment","11/21/2013",
"3rd Chute II LLC","3rd Chute II","2204 Fosterburg ","Alton","IL","62002","Madison","190702869","Establishment","11/07/2019",
"3RD DOWN SPORTS BAR, INC.","CORNER JOYNT","7600 W. 60TH PL.","SUMMIT","IL","60501","Cook","180702490","Establishment","09/14/2018",
"3rd Street Hybrid LLC","3rd Street Hybrid LLC","101 S 3rd Street Suite ""B""","Fisher","IL","61843","Champaign","190703478","Establishment","06/11/2020",
"4 Cozy JS Inc.","Cozy Corner Lounge","3702 W. 139th Street","Robbins","IL","60472","Cook","170700564","Establishment","06/13/2018",
"4 Dave Corp.","Quick N Save","1200 Shirland Ave.","South Beloit","IL","61080","Winnebago","210702511","Establishment","04/28/2022",
"4 J'S OF ILLINOIS, INC.","4 J''S","21 E MAIN ST ","IPAVA","IL","61441","Fulton","130701425","Establishment","11/21/2013",
"4 M OIL INC.","Westchester Cermak BP","11201 W Cermak Rd","Westchester","IL","60154","Cook","200702937","Establishment","10/20/2021",
"4 T's Inc.","The Corner Pub","602 S. Meyer Ave.","Valmeyer","IL","62295","Monroe","160703266","Establishment","11/03/2016",
"401 E RIVERSIDE LLC","LUCKY CAFE","401 E RIVERSIDE BLVD ","Loves Park","IL","61111","Winnebago","190703786","Establishment","06/11/2020",
"424 West Properties, INC.","Pearl's Player Palace","424 West 4th Street","Waterloo","IL","62298","Monroe","180703441","Establishment","04/18/2019",
"436 Dixie, Inc.","PA-CHAN-GA BEECHER","436 Dixie Hwy","Beecher","IL","60401","Will","210701452","Establishment","03/10/2022",
"44 Foods LLC","Erin's Eatery & Gaming","600 E Devon Ave.","Elk Grove Village","IL","60007","Cook","210703284","Establishment","04/28/2022",
"45 SOUTH, INC.","The Fire Station Sports Bar","578 Oak Ave.","Neoga","IL","62447","Cumberland","130704549","Establishment","01/15/2014",
"451 Commons Co.","Bull Dog Ale House","451 N Commons Dr","Aurora","IL","60504","Dupage","180700991","Establishment","08/02/2018",
"459 Randall Crossings Co.","Bull Dog Ale House","459 S Randall Rd","North Aurora","IL","60542","Kane","150701461","Establishment","12/16/2015",
"4841 BUTTERFIELD CORPORATION","Q's Restaurant & Pizzeria","4841 Butterfield","Hillside","IL","60162","Cook","120705102","Establishment","11/15/2012",
"4900 W. 31st Street Corporation","Victoria's 4900","4900 W. 31st. Street","Cicero","IL","60804","Cook","170704132","Establishment","01/09/2018",
"4LEAF LOUNGE & GAMING LLC","4LEAF LOUNGE & GAMING LLC","1704 NORTH 24TH STREET SUITE 7","QUINCY","IL","62301","Adams","190703535","Establishment","01/30/2020",
"4ME, INC.","Black Jack's","2519B Georgetown Road","Danville","IL","61832","Vermilion","160701975","Establishment","11/03/2016",
"4ME, Inc.","The Halfway Inn","1401 Warrington Avenue ","Danville","IL","61832","Vermilion","170701117","Establishment","05/25/2017",
"4ME, Inc.","Black Jacks 2","2708 North Cunningham Avenue","Urbana","IL","61802","Champaign","170700438","Establishment","04/21/2017",
"4our Friends LLC","4our Friends LLC","110 SW Front St","Rutland","IL","61358","La Salle","190701222","Establishment","08/08/2019",
"5 Diamond Camp Grounds LLC","5 Diamond Camp Grounds","2 Fun Street","Hartford","IL","62048","Madison","200702304","Establishment","04/21/2021",
"5 Lucky Souls LLC","New York Restaurant","3645 E US Route 36","Decatur","IL","62521","Macon","220701991","Establishment","10/27/2022",
"50 N. Barrington Rd., Inc.","Mickey's Sports Bar & Grill","50 N Barrington Rd","Streamwood","IL","60107","Cook","190700988","Establishment","09/16/2019",
"5025 ALSIP, CORP.","CITGO GAS - MINI MART","5025 W 111TH ST ","ALSIP","IL","60803","Cook","210701554","Establishment","11/18/2021",
"51 Bistro Inc.","51 Bistro","677 N Wall Street Suite 51","Macon","IL","62544","Macon","210701552","Establishment","09/09/2021",
"510 S. Park, Corp.","Famous Freddies Roadhouse","510 S. Park Ave.","Fox lake","IL","60020","Lake","120704528","Establishment","06/20/2013",
"52 Brink Street LLC","Cantina 52","52 Brink Street","Crystal Lake","IL","60014","Mchenry","220700545","Establishment","09/15/2022",
"55 Development, LLC","Nancy's Pizza","13 Thunderbird Lane","Litchfield","IL","62056","Montgomery","190702029","Establishment","11/07/2019",
"5800 Corporation","5800 Corporation","5800 W. 26th Street","Cicero","IL","60804","Cook","180700149","Establishment","03/07/2018",
"5K Storage LLC","Lucky Duck","330 W Campground Road","Bonnie","IL","62816","Jefferson","220701572","Establishment","12/08/2022",
"5MC'S LLC","OKAY'S","4736 147TH ST","MIDLOTHIAN","IL","60445","Cook","210700596","Establishment","06/09/2021",
"5th Street Billiards Bar and Grill, LLC","5th Street Billiards Bar and Grill LLC","200 North 5th Street","Dupo","IL","62239","St. Clair","140704182","Establishment","03/26/2015",
"6 M's LLC","Luck of the Irish Lounge","208 E. Main St.  ","Heyworth","IL","61745","Mclean","220701626","Establishment","10/27/2022",
"6245 CLUB, INC.","LUCKY DUFFS","6245 W. ROOSEVELT RD.","BERWYN","IL","60402","Cook","200700226","Establishment","04/21/2021",
"625 St Joseph LLC","Route 66 Hotel and Conference Center","625 East Saint Joseph St.","Southern View","IL","62703","Sangamon","170700807","Establishment","04/21/2017",
"629 MAIN, INC.","DIESEL","629 MAIN ST","PEORIA","IL","61602","Peoria","140701683","Establishment","07/20/2016",
"6415 DEMPSTER ST., INC.","Moretti's Ristorante & Pizzeria","6415 Dempster St.","Morton Grove","IL","60053","Cook","180700345","Establishment","05/24/2018",
"64J 3, Inc.","South Beloit Food & Liquor","280 Blackhawk Blvd","South Beloit","IL","61080","Winnebago","210702929","Establishment","04/28/2022",
"6512 W CERMAK LLC","LILLYS","6512 W. CERMAK ROAD","BERWYN","IL","60402","Cook","220701928","Establishment","10/27/2022",
"7 Days Food & Liquor Inc.","Ratajack's Liquor","921 14th St","North Chicago","IL","60064","Lake","220700681","Establishment","07/28/2022",
"7 Days Pantry N Deli Inc.","Oak Pantry and Deli","6925 Joliet Rd.","Indian Head Park","IL","60525","Cook","170703712","Establishment","01/09/2018",
"7 SPIRITS MARKET, CORP.","7 SPIRITS MARKET","6903-6905 W. 111th St.","Worth","IL","60482","Cook","210700701","Establishment","09/09/2021",
"702 North River Road, Inc.","Buddy's Bites N Brews","702 N. River Rd","Mt. Prospect","IL","60056","Cook","180702795","Establishment","04/18/2019",
"709 Cut-Rate Package Liquors, Inc.","709 Cut-Rate Package Liquor Store","2710 East Clearlake Avenue","Springfield","IL","62703","Sangamon","130704673","Establishment","02/26/2014",
"718 PROPERTIES, INC.","SABRINA'S CAFE","718 S BARRINGTON RD","STREAMWOOD","IL","60107","Cook","180703463","Establishment","04/18/2019",
"722 Bonner, L.L.C.","BONNER ROAD INN","722 BONNER RD ","Wauconda","IL","60084","Lake","120701453","Establishment","10/18/2012",
"728 INC.","The Tavern on Sheridan","728 SHERIDAN ROAD","WINTHROP HARBOR","IL","60096","Lake","120702095","Establishment","03/20/2013",
"7300 Diversey Corp.","Celtic Corner","7300 Diversey Ave.","Elmwood Park","IL","60707","Cook","120712092","Establishment","01/15/2014",
"7462 S CICERO CORP.","LILLY'S VIDEO GAMING","7462 S. CICERO AVENUE","BEDFORD PARK","IL","60459","Cook","210701116","Establishment","10/20/2021",
"750 Cucina Rustica, LLC","750 Cucina Rustica","7 Jandus Rd.","Cary","IL","60013","Mchenry","160703129","Establishment","12/14/2016",
"8 LANES A WEEK INC.","Wayne's Lanes","109 E CHURCH ST","Woodstock","IL","60098","McHenry","120700612","Establishment","11/21/2013",
"801 North River Road, Inc.","MORETTI'S MCHENRY","801-805 N. River Rd.","McHenry","IL","60051","McHenry","130702849","Establishment","11/21/2013",
"804 ENTERPRISES, LLC","D.C. COBB'S","224-226 MAIN ST","WOODSTOCK","IL","60098","Mchenry","120711985","Establishment","10/24/2013",
"821 BELLEVILLE LLC","Lacey's Place","821 S BELT W","Belleville","IL","62220","St. Clair","220702850","Establishment","02/09/2023",
"871 E. Algonquin Rd., Inc.","Drink","871 E. Algonquin Rd","Schaumburg","IL","60173","Cook","200701021","Establishment","09/17/2020",
"8745 LYONS INC.,","Marathon","3033 W. 147th Street","Posen","IL","60469","Cook","180700855","Establishment","09/14/2018",
"88 Bar & Grill, L.L.C.","The Nook","111 East Second Street","Beardstown","IL","62618","Cass","130704521","Establishment","12/19/2013",
"888 ENTERTAINMENT INC.","THE LANDING STRIP","9820 Lawrence Ave. ","Schiller Park","IL","60176","Cook","180700784","Establishment","08/02/2018",
"8th Ward Pub LTD.","8th Ward Pub","3905 Broadway","Rockford","IL","61108","Winnebago","200701723","Establishment","12/17/2020",
"8VIII8 Saloon, Inc.","Joe's Saloon","9220 47th St","Brookfield","IL","60513","Cook","180703310","Establishment","01/30/2019",
"92 East Inc.","92 East Bar & Grill","92 East Grand Avenue","Fox Lake","IL","60020","Lake","120707137","Establishment","10/24/2013",
"9247 Corp.","Just My Luck Bar & Grill","9247 South Cicero Ave.","Oak Lawn","IL","60453","Cook","120702148","Establishment","09/20/2012",
"9519 W. HIGGINS ROAD, INC.","Moretti's Ristorante & Pizzeria","9519 W. Higgins Road  ","Rosemont","IL","60018","Cook","200701417","Establishment","11/17/2020",
"96ERS, INC.","JASON'S PUB","1361 BENTON ST","CRETE","IL","60417","Will","120701392","Establishment","12/20/2012",
"9858 ARTESIAN CORP.","HARTE'S TAP","9858 SOUTH ARTESIAN","EVERGREEN PARK","IL","60805","Cook","200702785","Establishment","04/21/2021",
"A & A ENTERTAINMENT, LLC","KIKI'S CAFE MONTE CARLO","1201 W. Dundee Rd.","Wheeling","IL","60090","Cook","180701210","Establishment","12/12/2018",
"A & B Gaming LLC","Slick Nickels","1235 Logan Avenue","Belvidere","IL","61008","Boone","140703665","Establishment","03/26/2015",
"A & F LTD.","Sportsman's Inn","10 S. Main","Chesterfield","IL","62630","Macoupin","130700209","Establishment","10/24/2013",
"A & F LTD.","Loomis House","118 E. Side Square","Carlinville","IL","62626","Macoupin","170703968","Establishment","02/09/2018",
"A & F Ltd.","Red Hot Slots","370 S. Side Square","Carlinville","IL","62626","Macoupin","220703234","Establishment","03/16/2023",
"A & F Station Corp.","Masala Grill and Sports Bar","2101 N. Mannheim Rd","Melrose Park","IL","60164","Cook","220702149","Establishment","02/09/2023",
"A & G Gaming, Inc.","Jude's Place","500 W. Market, Suite A","Taylorville","IL","62568","Christian","180702209","Establishment","11/02/2018",
"A & M's Broadway, Inc.","Broadway Tavern","123 N Broadway","Central City","IL","62801","Marion","120700142","Establishment","01/24/2013",
"A & P Hospitality of Illinois LLC","A & P Hospitality of Illinois LLC","12800 South Ashland","Calumet Park","IL","608276308","Cook","150701151","Establishment","12/16/2015",
"A & S Enterprises of Illinois, LLC","Pundrake's","405 5th Street","Carmi","IL","62821","White","200701204","Establishment","01/27/2021",
"A & S Unlimited Inc.","Stop & Save","4742 E 2750th Rd","Sandwich","IL","60548","La Salle","150701191","Establishment","02/22/2017",
"A CAFFE INC.","A CAFFE INC","9785 HAYDEN DR SUITE B ","Mascoutah","IL","62258","St. Clair","200701893","Establishment","03/10/2021",
"A G P 18 INCORPORATED","SLOTS OF FORTUNE 2","101 N. STATE STREET","BELVIDERE","IL","61008","Boone","150704443","Establishment","03/04/2016",
"A G P 18 INCORPORATED","SLOTS OF FORTUNE","4767 BLUESTEM RD","ROSCOE","IL","61073","Winnebago","200702422","Establishment","03/10/2021",
"A K BROTHERS INC.","UNITED LIQUORS","21579 E Lincoln hwy","Lynwood","IL","60411","Cook","180702276","Establishment","11/02/2018",
"A K ENTERPRISES OF RICHMOND INC.","Richmond Liquor & Tobacco","8603 US Highway 12","Richmond","IL","60071","McHenry","150702279","Establishment","07/23/2015",
"A K LIQUORS INC.","ANGELO'S LIQUORS","710 W Baltimore Street","Wilmington","IL","60481","Will","180701414","Establishment","08/02/2018",
"A S Grace LLC","Shattered Saloon","5440 N 2nd St","Loves Park","IL","61111","Winnebago","220700747","Establishment","07/28/2022",
"A V Coffee Inc.","Home-Slice","18322 Governors Highway","Homewood","IL","60430","Cook","210702213","Establishment","11/18/2021",
"A&A CHAPIN INC.","A&A CHAPIN","1715 ORE ROAD","CHAPIN","IL","62628","Morgan","170703692","Establishment","01/09/2018",
"A&G Napoli, Inc.","Napoli Pizza","135 Washington St.","Woodstock","IL","60098","McHenry","180703036","Establishment","12/12/2018",
"A&J Restaurant Enterprises, Inc.","Grubsteaker's Restaurant","14698 IL RTE 64","Rochelle","IL","61068","Ogle","160703255","Establishment","01/26/2017",
"A&R Gaming, LLC","Lucky Jack's - East Alton","100 Kingshighway","East Alton","IL","620241447","Madison","160704227","Establishment","01/26/2017",
"A'S RESTAURANT AND BAR LLC","A'S CAFE","45 S RANDALL RD","NORTH AURORA","IL","60542","Kane","200702357","Establishment","03/10/2021",
"A. C. FOX, INC.","Foxs Oak Lawn Pub","9240 S. Cicero Avenue","Oak Lawn","IL","60453","Cook","160701112","Establishment","08/31/2016",
"A.A.A.M & V, Inc.","Lucky 777 Slots & Video Poker Lounge","5257 Swanson Rd #4","Roscoe","IL","61073","Winnebago","140702586","Establishment","08/21/2014",
"A.A.A.M & V, Inc.","Bago Lounge - Wine and Slots","817 N Elida Street","Winnebago","IL","61088","Winnebago","210700330","Establishment","12/08/2022",
"A.C. Hicks, Inc.","The Railside","207 South Butler Street","Nelson","IL","61021","Lee","140700193","Establishment","05/29/2014",
"A.J.'s Lounge of Benson, Inc.","AJ's Lounge","324 Front St.","Benson","IL","61516","Woodford","120707733","Establishment","07/18/2013",
"A.S.GIAN CORPORATION","THE BLACKSTONE BAR AND GRILL","406 Cherry Avenue","Rochelle","IL","61068","Ogle","160701115","Establishment","08/31/2016",
"A1 BANH MI LLC","Wrap N Go","1501 Wabash Avenue Suite B","Springfield","IL","62704","Sangamon","220702060","Establishment","02/09/2023",
"AARAV1121 Inc.","Slot Spot 1121","424 Derby Street","Pekin","IL","61554","Tazewell","160703894","Establishment","02/22/2017",
"Aaron Summers","Mimmos Pizza","120 S. Division St.","Norris City","IL","62869","White","180700633","Establishment","06/13/2018",
"ABBA, INC.","Original Bagel & Bialy","105 McHenry Road","Buffalo Grove","IL","60089","Lake","190702471","Establishment","01/30/2020",
"ABBE LANES BOWLING & ENTERTAINMENT LLC","ABBE LANES BOWLING & ENTERTAINMENT","409 S Western Ave","Abingdon","IL","61410","Knox","180702343","Establishment","11/02/2018",
"ABBE LANES BOWLING CENTER, INC.","PZ's Place & Steakhouse","2320 GRAND AVENUE","GALESBURG","IL","61401","Knox","120704413","Establishment","12/20/2012",
"Abby's Wine II, Inc","Abby's Wine II, Inc.","955 N. Galena Ave","Dixon","IL","61021","Lee","210700245","Establishment","06/09/2021",
"Abby's Wine Inc.","Abby's Wine","2607 E Lincolnway Ste D","Sterling","IL","61081","Whiteside","210702107","Establishment","01/27/2022",
"ABC Pub, LLC","ABC Pub","118 S Broadway Ave","Salem","IL","62881","Marion","200701994","Establishment","04/21/2021",
"ABE'S HIDEOUT, LLC","ABE'S HIDEOUT LLC","200 West Main Street","Mechanicsburg","IL","62545","Sangamon","160700677","Establishment","04/21/2016",
"Abel Barba, Inc","El Gallo De Oro Restaurant","11400 S. Harlem Ave.","Worth","IL","60482","Cook","180703159","Establishment","11/07/2019",
"ABEL LLC","Whiskey Throttle Bar & Grill","634 E MAIN ST","TAYLOR SPRINGS","IL","62089","Montgomery","150701791","Establishment","08/25/2015",
"ABHIH Corporation","Valley News","103 E. St. Paul Street","Spring Valley","IL","61362","Bureau","140702311","Establishment","11/02/2018",
"ABRUZZO'S DIVISION LOUNGE AND ITALIAN RESTAURANT, INC.","Abruzzo’s Italian Restaurant & Lounge","1509 W DIVISION ","MELROSE PARK","IL","60160","Cook","130700290","Establishment","09/19/2013",
"Absolutely Delicious LTD","J. Fleming's Absolutely Delicious","18 N Cass Avenue","Westmont","IL","60559","Dupage","210700138","Establishment","06/09/2021",
"Accelerate Indoor Speedway Chicago, LLC","Victory Lap Bar & Grill","8580 Spring Lake Drive","Mokena","IL","60448","Will","170702336","Establishment","01/09/2018",
"ACCESS GAMING INC.","ACCESS GAMING INC.","1700 (B) N MANNHEIM RD","STONE PARK","IL","60165","Cook","200702267","Establishment","03/10/2021",
"ACCS RESTAURANTS - COLUMBIA, LLC","B & D'S SLOTS OF FUN","950 Columbia Centre","Columbia","IL","62236","Monroe","200702374","Establishment","06/09/2021",
"Ace Kitchen LLC","Six19 Kitchen + Bar","242 Mitchell Dr","Plano","IL","60545","Kendall","210703554","Establishment","06/16/2022",
"Ace's Place LLC","Ace's Place LLC","10793 Old Macomb Rd.","Rushville","IL","62681","Schuyler","210701173","Establishment","09/09/2021",
"Aces and Eights, Inc.","Aces & Eights, Inc.","103 South LaSalle Street","Tonica","IL","61370","La Salle","170701231","Establishment","06/28/2017",
"ACES CAFE, INC.","ACES CAFÉ","4838 W. 183rd STREET","COUNTRY CLUB HILLS","IL","60478","Cook","180703694","Establishment","01/30/2019",
"ACES GAMING, INC.","ACES GAMING, INC.","5595 127TH ST","Crestwood","IL","60418","Cook","220701366","Establishment","09/15/2022",
"Ach-N-Lou's Pizza Pub, Inc.","Ach-N-Lou's","1592 N. Farnsworth Ave.","Aurora","IL","60505","Kane","130706356","Establishment","02/26/2014",
"Achille Foster","Carolyns Mega Slots 2","1627 East El Dorado St.","Decatur","IL","62521","Macon","160700778","Establishment","07/20/2016",
"ACRES BISTRO, LLC","ACRES BISTRO LLC","407 Lincoln Hwy","Rochelle","IL","610681642","Ogle","200702869","Establishment","04/21/2021",
"Across The Border LLC","Brown's Chicken","1500 W North Ave","Melrose Park","IL","60160","Cook","210702002","Establishment","04/28/2022",
"ACSWISS, INC.","CHECKER'S II","6524 MAIN ST","UNION","IL","60180","Mchenry","130702608","Establishment","11/21/2013",
"ACTION BILLIARDS, INC.","Q BAR","8109 S. CASS AVE","DARIEN","IL","60561","Dupage","130701767","Establishment","10/24/2013",
"Adam Harris, Inc.","Lenny's","2001 IL Ave.","Granite City","IL","62040","Madison","120705648","Establishment","03/20/2013",
"ADCD, Inc.","Wagon Wheel","104 E. US Highway 6 P.O. Box 61","Mineral","IL","61344","Bureau","120700736","Establishment","11/15/2012",
"ADDISON'S STEAKHOUSE LLC","ADDISON'S STEAKHOUSE","335 Front St","McHenry","IL","60050","Mchenry","160703335","Establishment","01/26/2017",
"ADH1, INC.","JR'S","2048 State Route 23","Grand Ridge","IL","61325","La Salle","170701852","Establishment","08/24/2017",
"ADI of Champaign, Inc.","Pipa's Pub","604 S. Country Fair Drive","Champaign","IL","61821","Champaign","120707531","Establishment","01/24/2013",
"ADKINS & SON, INC.","GERMANTOWN GRILLE","505 Ten Mile Creek Rd.","Germantown Hills","IL","61548","Woodford","160703671","Establishment","02/22/2017",
"ADRI'S GAMING BOUTIQUE, INC.","Lucky Horseshoe","5441 Bridge St","Roscoe","IL","61073","Winnebago","170701155","Establishment","08/24/2017",
"ADVANCED AMUSEMENT SERVICE, L.L.C.","Bronze Eagle Pub","7320 W. Pershing Rd.","Lyons","IL","60534","Cook","140700642","Establishment","08/21/2014",
"Adventures Bar & Grill, LLC","Adventures Bar & Grill","506 W. Main St","Cornell","IL","61319","Livingston","190701484","Establishment","11/07/2019",
"ADYA SHAKTI, INC.","Spirits Liquor","530 Main Street","Marseilles","IL","61341","La Salle","150703482","Establishment","02/22/2017",
"Aeries Management, Inc.","Aeries Winery","600 Timber Ridge Dr","Grafton","IL","62037","Jersey","210700933","Establishment","09/09/2021",
"AERO ALEHOUSE BYRON LLC","The Deaf Pig","120 N Union St","Byron","IL","61010","Ogle","220701713","Establishment","03/16/2023",
"Aero Alehouse LLC","Aero Ale House","6164 E. Riverside Blvd.","Loves Park","IL","61111","Winnebago","140704005","Establishment","03/26/2015",
"AES RESTAURANT GROUP INC.","Libby's Lounge","905 S. Neil Street Suite A","Champaign","IL","61820","Champaign","170702612","Establishment","09/21/2017",
"AEVA CORP.","CRETE LIQUOR","940 E STEGER RD","CRETE","IL","60417","Will","170702068","Establishment","09/21/2017",
"After The Fox, Ltd.","After The Fox","1406 N. Riverside","McHenry","IL","60050","Mchenry","120702020","Establishment","10/18/2012",
"AG ENTERTAINMENT INC","BOOKER'S BAR & GRILL","420 N. MCLEAN BLVD.","SOUTH ELGIN","IL","60177","Kane","120700144","Establishment","09/20/2012",
"Agim Mehmedi ","Five Brothers Cafe","2053 West Main St","Salem","IL","62881","Marion","130702562","Establishment","12/19/2013",
"AGIT RESTAURANT CORP.","Agit Bar & Grill","9098 W Golf Rd","Niles","IL","60714","Cook","220701885","Establishment","02/09/2023",
"Agnandi, Inc.","Denvers Restaurant","14710 S. Western Ave. ","Posen","IL","60469","Cook","130705107","Establishment","05/29/2014",
"AGORA LIQUORS, INC.","H & L LIQUORS","144 N. KENNEDY DR","CARPENTERSVILLE","IL","60110","Kane","180701424","Establishment","09/14/2018",
"AGR Group, LLC","The Clubs at Sunset Hills","1620 Summit Dr.","Pekin","IL","61554","Tazewell","120709064","Establishment","10/24/2013",
"AGSEL INC.,","Mangia","2210 West Morton Avenue","Jacksonville","IL","62650","Morgan","210702227","Establishment","01/27/2022",
"AH-HA Enterprises Inc.","Cragel's","345-347 Washington Street","Prophetstown","IL","61277","Whiteside","190700055","Establishment","09/16/2019",
"AHAC LLC","Grecian Steakhouse","502 S. Main St.","Pinckneyville","IL","62274","Perry","190703380","Establishment","06/11/2020",
"Ahayn Management, Inc.","Drifters","1505 West Main Street","Grafton","IL","62037","Jersey","170700296","Establishment","04/21/2017",
"Ahlstrand and Ahlstrand, Inc.","Corner Tap","120 West 2nd Street","Rock Falls","IL","61071","Whiteside","120704627","Establishment","03/20/2013",
"AHRB INC.","AHRB INC","1052 BELVIDERE RD","BELVIDERE","IL","61008","Boone","210700698","Establishment","09/09/2021",
"Ahuja & Sons, Inc.","Midtown Package Liquors","204 W Main St","Fairfield","IL","62837","Wayne","210701170","Establishment","11/18/2021",
"Ahuja Brothers and Liquors, Inc.","Midtown Liquors and Tobacco","617 W Broadway","Centralia","IL","62801","Clinton","210702374","Establishment","01/27/2022",
"Ahuja Brothers, Inc.","Best Western","201 Hagen Dr","Flora","IL","62839","Clay","220701479","Establishment","09/15/2022",
"Ahuja Liquors, Inc.","Midtown Package Liquors and Tobacco","701 W Robinson St","Wayne City","IL","62895","Wayne","220700622","Establishment","04/28/2022",
"AJ & ML Inc.","Country Store","12705 Wolf Rd.","Geneseo","IL","61254","Henry","150703582","Establishment","02/22/2017",
"AJ 63RD, INC.","AJ 63RD, INC.","7200 W. 63RD STREET","SUMMIT","IL","60501","Cook","210702005","Establishment","10/27/2022",
"AJ'S BAR & GRILL, INC.","AJ'S BAR & GRILL","305 FREDERICK ST","ARENZVILLE","IL","62611","Cass","130701423","Establishment","10/24/2013",
